# Key JulianDate ELEV Airmass Tau225 CalF_lin CalF_gauss Beam_lin Beam_gauss Beam_lin_fwhm Beam_gauss_fwhm Sigx_fwhm Sigy_fwhm dx dy B B_err M M_err Amp Amp_err Sigx Sigx_err Sigy Sigy_err Theta Theta_err 
20151226-36 2457382.884582497 63.0 1.1267570336161001 0.110000779151915 1.0 1.0 6.664198393276644 5.6831647257733735 11.097466205762554 9.463813164638138 7.420941438344006 12.069056245667447 0.0 0.0 2260145.878449227 82594.09815052795 -25445.479564559744 3002.2015429701332 2340505.2618127703 347295.71784620686 4.456388971415116 0.7676193432356531 7.247653090304294 1.9755257683039367 -3.751730748950293 0.31665836506174794
20160116-19 2457403.7694665287 57.0 1.1996866179086 0.056961061477661 0.8483068230618388 0.7685605352476217 6.637294629287556 6.140079930791626 11.052665076795876 10.224685027592388 12.991051005218683 8.04740000416249 -0.021155171659074767 0.5143710231856176 1613350.577942872 19540.85995293575 -18311.189645115694 710.2880373296845 1613739.1796230993 30204.80521745339 7.80132506202161 0.30752274447344746 4.83258693321779 0.11132373855552215 -2.1181394205705804 0.04387646241653115
20160206-12 2457424.6886967206 49.0 1.3316001382452 0.041731991291046 0.7863616454211554 0.7128147660720249 6.539442468590898 6.055081637206554 10.889718090165411 10.08314276925274 13.074735837852776 7.776047590253322 0.22004840022111694 0.7283401527753881 1345757.2502075024 18868.799864689736 -15734.584744140073 685.8594163612185 1349965.0171018227 26788.114490109576 7.8515790854933964 0.3221302550707984 4.669635653416082 0.11133426847185214 -14.744863483179387 0.04270630892818598
20160229-11 2457447.669262968 60.0 1.15938688707325 0.042767321586608995 0.5863020119187217 0.515117937266048 7.4442772916105815 7.109886708243697 12.396482036507194 11.8396426419623 15.87444380322385 8.830365310871821 0.2035658330750607 0.42211169776868473 969456.8609105949 12668.234175093736 -8746.884851724588 460.4759042519183 972003.5264706339 15051.538014701351 9.532846590933632 0.4188820039775167 5.3027695895302935 0.11031835936035195 4.114612888021819 0.03643651789826969
20160325-15 2457472.7359355623 49.0 1.32040744834275 0.056503085613251 0.7101388889072244 0.639627310724282 6.651861723837637 6.188848157120558 11.076922733898156 10.305895656637631 8.022126906619734 13.23981613876718 -0.2431636864076836 -0.32190937312992673 1135569.329049055 15019.270947925426 -12832.08515402888 545.9334149721979 1135540.9127417575 27660.689770958572 4.817410051133653 0.14414449794606804 7.950712334085236 0.4182106542310292 -3.6956445539769764 0.05516254127088563
20160422-11 2457500.711398591 34.0 1.8152447483710001 0.0505910129547115 0.7813228763392066 0.719941731059868 6.6069259423664155 6.030230408708225 11.002094031798064 10.041759597240617 12.879330368963705 7.829361691953211 -0.23661093082256457 0.6101167543739621 1356127.7221363657 19553.15343447396 -15533.585804368335 710.7348884244539 1365814.2580978777 48687.43102702435 7.7342351091601484 0.5646143459539529 4.701651587891547 0.20207751320051345 -11.574075858480589 0.07921600915129685
20160826-20 2457627.149038062 55.0 1.23066405077275 0.104213888168335 0.8031580261872701 0.8040435547595464 6.163561828451829 5.2455956052226895 10.263787939953788 8.735157107085069 11.028519607427526 6.918695564005706 0.0 0.09786683250035821 1247114.0075129329 71815.28505449372 -16413.932677678607 2610.40395621402 1289074.142463937 328957.71620163834 6.622794905189643 2.8543569580947463 4.154782632928849 1.1717678795687336 1.0602111680951312 0.5080940471091425
20161126-52 2457718.9526723837 64.0 1.11335687512205 0.061330019950867 0.8767871810140965 0.7977754504919363 6.372050742128251 5.891790280948167 10.610971282534717 9.811224047625428 13.112993019665083 7.340819686881986 0.11820376543528255 0.5881685792699045 1588500.918575084 25462.975423783482 -19561.359001335954 925.5502027104943 1600976.7631209674 32718.67422303184 7.8745531090081045 0.3323622408394132 4.408274632749011 0.10410336630398043 -11.602722836761215 0.0378766688782571
20170206-21 2457790.731416091 61.0 1.14465367398495 0.11521431159973 0.745086721317876 0.7524524394546945 6.180760894852569 5.23116931483468 10.292428452568995 8.711133922208553 6.869308818997967 11.04679614938637 0.11602560780477233 0.0 1079290.040178092 37511.9580651328 -14126.165418312232 1363.5170184632034 1122754.47882004 158288.6663563834 4.125125136287063 0.6449664349243389 6.633770248506619 1.501719552739963 -19.495322928456396 0.28270743668508386
20170318-12 2457830.684628499 64.0 1.1178904639969 0.105441081047055 0.618201348968727 0.567422086843579 6.80650988453863 6.24389140071654 11.334448491068597 10.397555673283929 7.963139883101017 13.576198028175138 -0.37950872885170384 0.0 901051.2466500629 18677.325875816387 -9724.572917251857 678.899554309608 909603.8468694616 64288.70298793103 4.781987440235907 0.41423862248543364 8.152714809727453 1.246530823165849 -6.925043507800204 0.15513027978537838
20170421-22 2457864.6868907427 41.0 1.5251130273074 0.0897444648742675 0.5965784859476243 0.5746477106075213 6.8946263601449305 6.05111713936555 11.48118325982914 10.076540942863877 12.316965303445981 8.243644020398806 -0.5492436739702953 0.39090055699364257 860988.3640131594 38305.321679150096 -9056.196048243917 1392.3548912174256 876200.7397494131 157573.9506853491 7.396526275758875 2.5401403670836236 4.950434470073826 1.116247777838056 10.388107535904425 0.5046079962705228
