# Key JulianDate ELEV Airmass Tau225 CalF_lin CalF_gauss Beam_lin Beam_gauss Beam_lin_fwhm Beam_gauss_fwhm Sigx_fwhm Sigy_fwhm dx dy B B_err M M_err Amp Amp_err Sigx Sigx_err Sigy Sigy_err Theta Theta_err 
20200222-12 2458901.6788277873 61.0 1.14227362422005 0.0331793422698975 1.0 1.0 10.74333828226976 11.766477264105356 17.890198713898727 19.593967060017278 24.511075975844786 15.663267721392225 0.0 0.0 4595452.867242645 22948.65073092337 -19907.641844016227 834.1573512762849 4485009.408600099 38294.58409737962 14.719276464287491 0.9200838946216044 9.406032120031258 0.2529900229575908 -8.043365485700557 0.04649706946048744
20200225-14 2458904.677945156 64.0 1.1178622781987 0.0437370903491975 1.531174131693141 1.5686607997077322 9.122733505743824 9.727760641945451 15.191508537066927 16.199021789424588 13.341026402679065 19.669274238266805 -0.24124082911112055 -0.2002393340319486 7768710.85970815 48711.86879952298 -46673.35126830643 1770.6210346847713 7543176.644093706 98545.2210402472 8.011490647408186 0.25267277350800205 11.811700377831272 0.7575017744837504 -3.3064845399310694 0.05939379509337328
20200811-41 2459073.1710016094 51.0 1.30413565815765 0.10399303150177 1.9979024891787411 2.0918006871469434 8.610051533028392 8.985331600325926 14.337771818746361 14.962701873159554 12.41679501938413 18.030614743623023 0.3105612735383829 -0.33807436492611487 11781752.412679896 94144.64215573462 -79463.62898398907 3422.0506734468436 11444037.166251734 237142.23194203962 7.456475548883115 0.3312971192624359 10.82766025832525 0.9336942224292154 -22.19783977426998 0.08904897786351451
20200914-49 2459107.0608991953 45.0 1.4332335783714498 0.052263191461563 1.532438150385136 1.5899727229341196 9.144513178063434 9.633954826974794 15.227776841711535 16.042812925266052 19.079372217551384 13.489534331654976 0.20121604854188035 -0.42588753290993964 7818742.407048755 44571.87929470472 -46750.442878538575 1620.1371060200001 7600794.612046701 94676.31621449674 11.457455181157368 0.6458133979850621 8.100671932876413 0.24535629882249946 -4.970271596589983 0.06658076986423413
20201031-24 2459153.9549947362 52.0 1.2713075873789 0.10269190502167 2.100994986091975 2.1986746161722968 9.032625374555975 9.433729902688793 15.04145719079692 15.70939107920322 13.39968105604378 18.41722702556715 0.1754695074471897 0.23900259789081701 14339296.44207063 86503.40945615464 -87875.91311301074 3144.3005573248124 13936677.135091182 225492.7232705993 8.046713664938833 0.31585860815958944 11.059826853868945 0.7704423309934944 -0.2062899434288326 0.08811473161831442
20201212-58 2459196.050383473 56.0 1.21670822600055 0.12252681446075 1.9875909046207385 2.0857496062805665 8.63127394939584 8.98852472242664 14.373112160456474 14.968019176533849 18.122567430169454 12.362574945982153 -0.3639844944216861 -1.2941946070812378 11718003.350031538 115521.44323250403 -78645.48956152274 4199.073075331946 11386011.380643122 336013.2308896488 10.882879254677949 1.359910558023539 7.423915564527301 0.46792630534888824 1.3960636362324965 0.12134438770994152
20210115-45 2459229.9668304403 53.0 1.2671815515244 0.099979428768156 2.036156176296442 2.136448655013256 8.423179085024337 8.77365316965058 14.026585003148954 14.610207230551307 11.921968541093214 17.90460649043787 -0.3092481094028017 -0.23761952390333363 11711810.993669642 102306.49904647961 -82535.7288534252 3718.7248881091427 11381939.769093733 236396.3065876484 7.159324671337327 0.29939516896656976 10.751990372709376 0.9231037382014674 9.231402170075008 0.07822580884688705
20210212-13 2459257.682220902 56.0 1.2112045744451 0.08633529376983651 1.7661546647823299 1.8256479340487728 8.773559414609956 9.267936061524919 14.610051106238442 15.433305128446431 12.780087983346194 18.637344867900254 -0.04027707145144177 -0.051765988250281225 9560022.685810458 65822.20088480852 -62097.95299026998 2392.562137620661 9274073.990933372 145316.31005873502 7.674638536887306 0.26920072084912383 11.192010988878616 0.7701918316784907 -3.3653793631732793 0.07058391238827878
20210326-18 2459299.774144457 55.0 1.2314549948481002 0.060361117839813 1.6917709730652315 1.7643926678352655 9.509208427430554 9.982665705482628 15.835080671281926 16.623498997536444 19.95509817961174 13.84812624993418 -0.24048331030564896 -0.456470327214447 10304375.728655916 54715.94510925908 -56977.44324148295 1988.8623869972007 10049720.489926558 100317.62578666433 11.983342031462243 0.6021017672614218 8.31601187096042 0.21335016304454474 1.4090133410415075 0.05020810949656898
20210826-36 2459453.1481779455 55.0 1.22269647178215 0.051060230255127 1.0 1.9160325943524728 70.71067811865474 8.851612831594666 117.74999999999997 14.74002850278564 17.793536260093617 12.21052617574456 0.021480983188780556 -0.14167847368696584 1.0 inf -0.0001 inf 101261000330.7326 1665068564.3376963 10.685290998557042 0.7163446515212317 7.332607949660144 0.25210950825114314 -1.7677126916837127 0.0680172000828504
