# Key JulianDate ELEV Airmass Tau225 CalF_lin CalF_gauss Beam_lin Beam_gauss Beam_lin_fwhm Beam_gauss_fwhm Sigx_fwhm Sigy_fwhm dx dy B B_err M M_err Amp Amp_err Sigx Sigx_err Sigy Sigy_err Theta Theta_err 
20151222-19 2457378.7308930047 54.0 1.2355988052387499 0.0635922832489015 1.0 1.0 9.10437427877341 5.904653801631941 15.160936082760397 9.832644851396715 8.972681857184975 10.775028727479068 0.0 0.0 2086.0276948434544 19.555784674067308 -25.16632864057935 0.7108305369337102 2059.0441162615684 73.85691784421037 5.388232854900213 0.2611116374992322 6.470569750046968 0.3829508982242508 -5.238387128673329 0.210949259393922
20160115-22 2457402.8539292305 67.0 1.0884865771403 0.0722457523345945 0.9835206015653726 1.0094718405868308 9.091556954099328 5.775955289213348 15.139592206269205 9.618331394921867 10.74323525375979 8.611214093088325 2.391972530633126 0.9959284805146069 2012.1637183181595 18.722844277339085 -24.34371116125296 0.6805540946649971 2007.7648000183171 49.395296688259705 6.451477282221595 0.2690944941995994 5.171165927364688 0.1664799646478528 -0.4237095154109653 0.1120439909020487
20160205-18 2457423.7745526778 67.0 1.0846608935378 0.0370761449337005 0.9590685640625868 0.9867236942518927 9.176336881336221 5.81760715247999 15.280770833002109 9.687691596664202 8.71994640813054 10.762837760627807 2.1154024941386638 4.350875283330794 1949.2066027142391 19.779928285511147 -23.1483039287983 0.7189778935718772 1946.061986430061 61.85284126135572 5.236461347577395 0.22016618591514378 6.463248887771175 0.34683866109340983 -2.0147821022071026 0.15469453348318113
20160226-20 2457444.7957788184 45.0 1.41702425719305 0.054148785591125 0.9403660829365607 0.9603749838210404 8.901882989840358 5.672769130875981 14.82374020363367 9.446502040890831 10.394476141894843 8.584982984268741 2.0959595282759835 3.4503290984885098 1763.5084288827504 15.813877038703692 -22.254291730888095 0.574816442741654 1752.86580524846 51.0672081962591 6.242042094960192 0.28564955207963527 5.155413744838684 0.19421410303430692 -3.6766272842947245 0.15684558924069675
20160318-27 2457465.761854085 39.0 1.57839248465525 0.048439305543899 0.9165488676042385 0.9413597825916221 9.078234035184137 5.75888079436183 15.117406395808848 9.589898323393511 8.854397724428582 10.386494114591033 5.112239412499747 1.0957353903382625 1742.343835595361 13.817790845926833 -21.141272009304018 0.5022609818561488 1735.6583069260719 44.560529383345255 5.31720142188211 0.17993228646862905 6.237248765334595 0.2449032772912498 -24.22274386311393 0.17420599534525688
20160417-9 2457495.6939695003 36.0 1.7035573647563 0.0359870750904085 0.868538989790005 0.8822710396175623 9.293318511356512 5.957056072702132 15.475572909596185 9.919907024277604 8.930491206872968 11.018940962013303 2.8219461073692855 4.5942721412424135 1639.6084437844888 15.864095795289025 -18.984471089082252 0.5766418406764119 1631.3389168088931 46.899615206920224 5.362896723317801 0.20880382416217824 6.617042781939555 0.33050872117838576 -2.023757403410106 0.14461691135720273
20160826-40 2457627.300120897 39.0 1.5943172628942999 0.081799017906189 0.9221234142266506 0.9444796644829755 8.834949549648258 5.618740693433582 14.71228019798368 9.356531916461151 10.431201900926013 8.392579334121079 3.808853828013355 -0.6559104446472475 1670.3447278881945 21.02235650508336 -21.39922094763609 0.7641387482280427 1663.1827640080771 79.95416992972653 6.264096475643982 0.48744318988351 5.039872406626832 0.3088154191528146 -6.7309998401988285 0.21818363001868704
20161126-22 2457718.7545759305 40.0 1.54680409167565 0.048891815662384 1.1415972212472814 1.187672443382948 8.71672314038627 5.471637747456504 14.515405269599613 9.111570726020647 8.18774898972172 10.13962704517375 3.5675129657647346 1.1293574191359994 2492.0237328166804 24.57113285855169 -32.79787222770477 0.8931327423081536 2494.0479962680856 72.1548541315519 4.916868648225505 0.17741226154913173 6.089001309847027 0.2760044918151904 -11.433185314062431 0.12934736930322838
20170209-28 2457793.848174257 46.0 1.38390135128805 0.0887415952682495 1.0551322050964946 1.0748361364460464 9.074154535822471 5.797666521363978 15.110613064693707 9.654485730501097 8.68991392044616 10.726124052982989 2.627863258173875 4.081392723196501 2306.9913376476693 21.74293655994882 -28.01777359171503 0.7903310165270706 2293.336345940743 72.07309156819633 5.2184263788321505 0.2132868284130811 6.441201744129433 0.32198024816074894 -8.494791460949962 0.16212462105566317
20170320-19 2457832.737470822 43.0 1.47075893180485 0.08621626329422 0.9315964737304782 0.9617273134611143 8.801482109054595 5.564245542327765 14.656548995359787 9.26578460341824 8.215754835789298 10.450015370826767 3.95418640145013 4.27889286446171 1691.9485658323438 18.021052294684125 -21.841151714948023 0.6550447519827701 1691.1932897897798 49.11321187232507 4.933686587645675 0.17932775168286066 6.275394252412112 0.297754494931239 -1.9967260187851945 0.11685067812771954
20170624-25 2457929.215900393 50.0 1.2973373555227 0.09750632238388199 0.8908381247508349 0.9086975103342958 8.959892451599767 5.7105142368437525 14.920339674942777 9.509356567900841 10.03404954888006 9.012100438109943 3.077942136767831 2.5978281107486225 1603.3304740829255 12.145175018893996 -19.971811285168364 0.44146329925869476 1590.251765924414 47.377841235824924 6.025600406602894 0.2712902769949529 5.411904316366706 0.21809659946275456 -6.815602209774628 0.28803141921311093
20170801-44 2457967.1283119647 58.0 1.1817759579112002 0.088624641418457 1.0069600948947526 1.0393299824039517 8.842181513186475 5.582808712767506 14.72432312741502 9.29669667182765 10.071674837939636 8.581350212220713 2.2645381312923973 1.1915928875350517 1995.0934172281984 16.094479019538067 -25.517867842030068 0.5850160095445626 1988.3332725547803 53.93452990995875 6.048194968843345 0.25260490682015224 5.153232209594806 0.1815450612590417 -0.470857288847196 0.1676585799703348
20170902-71 2457999.320110318 31.0 1.97561536913465 0.042960506200790005 1.132504555191992 1.188856973828682 8.645056814816954 5.387212856050966 14.396063890612602 8.970983317902162 8.018635481157782 10.036438478739637 2.100298081860899 3.5711722178361356 2412.3231369536434 24.492458919657604 -32.277491741895176 0.8902730386883569 2422.5026636787343 68.17997276329874 4.815313396679169 0.16615353813787473 6.027034995565516 0.26406371441117565 48.27707381707068 0.11707920961327534
20170930-38 2458026.927675041 48.0 1.3594867654726501 0.0774030585289 1.0751164097249388 1.110124231741113 8.810364729973474 5.563042839013573 14.671340659660373 9.263781817997225 10.215624571898694 8.400627192929996 4.117579704711744 1.043578776417604 2257.972353717051 20.189877983797594 -29.089137527902825 0.7338790998325179 2252.3959958224177 63.539578273147214 6.134638988403811 0.2645550484316076 5.04470526907933 0.18016851197690356 -3.6961333349903933 0.14607409620054976
20171030-26 2458057.1545860376 38.0 1.62634298944765 0.10325028133392 0.9631531852206334 1.0175622757736362 8.647951950097038 5.361524750383029 14.400884975465697 8.928206547506552 8.009450272067397 9.952352464554775 1.3859727653037623 5.609426515518777 1745.9714180063488 20.532037883710636 -23.345898556731136 0.7463162263175829 1757.8240383481912 64.0366608177329 4.80979753796628 0.21435396559570002 5.9765400564291555 0.3330248348815945 -17.719741090562295 0.15722393809428786
20171208-25 2458095.7956700013 58.0 1.18515305282465 0.101254870414735 1.0634286413695313 1.0927277390832406 8.871569082636933 5.622333875137528 14.773260379819598 9.3625154136768 10.181160410595025 8.609695883007177 0.8601219297449632 1.1912111360814777 2239.9454765947335 18.21633070541309 -28.46010969423808 0.6621429010554084 2229.122691440627 60.081877696553256 6.113942731787479 0.25727966140424574 5.170254218962442 0.1816235926488719 -9.893025323686487 0.16019972915088487
20180111-13 2458129.7316905786 64.0 1.11609044536825 0.0984400339126585 1.0146091867785052 1.0443244631526765 8.864555494017733 5.614327557847403 14.761581096267472 9.34918300213734 10.344015014801782 8.450028609043807 4.630753964146123 0.8425736033258886 2035.7824709029385 19.67255381647654 -25.907019039561895 0.7150749525958263 2030.220319598027 59.18675492837144 6.211739415424039 0.2894381808028964 5.074371575944973 0.18966029707510443 2.6869815152784837 0.14256362283193472
20180209-13 2458158.795356571 56.0 1.20754965991885 0.09084601354599 1.0828999251525215 1.1139290610706603 8.964181542017212 5.683800524112552 14.927482024727722 9.464871919219908 8.442425931990114 10.61114437590573 1.7223456880981303 0.30533721357139143 2371.4708874181288 22.00824816326252 -29.51185517822098 0.7999747913338839 2367.3883007692416 56.454348596010355 5.069806051953603 0.15510258071582253 6.372154687348142 0.252652683973947 -8.287270308021625 0.10361652080462831
20180311-12 2458188.7655373896 48.0 1.34045033668225 0.1010315246582 0.9055499181473056 0.9401563960409788 8.780531309429966 5.526537938524923 14.621660959755596 9.202992526380964 10.479433211327327 8.082027885732991 5.348535590908597 2.5604168618937138 1591.0588610450668 17.313711437739364 -20.63690927708429 0.6293337245230705 1594.348635150144 44.504103289711765 6.293060116111313 0.28494853724563424 4.853381506361421 0.16688161701969553 -3.5990964018425324 0.10444796268040614
20180906-25 2458368.2478441633 52.0 1.2720474162567 0.11404586505889999 1.0461214582439928 1.0910438038068435 8.809834020001963 5.521269374478069 14.670456902060982 9.194219121387222 8.224855745640825 10.277829528728851 3.485081888282508 -1.1769846318869668 2137.5660206088787 21.847473085451508 -27.541277726885074 0.794130796440785 2143.0831412400116 60.29988920936512 4.939151823374748 0.17440618959662682 6.171994017531643 0.2800466952834548 -30.245303342689233 0.12005963606419033
