# Key JulianDate ELEV Airmass Tau225 CalF_lin CalF_gauss Beam_lin Beam_gauss Beam_lin_fwhm Beam_gauss_fwhm Sigx_fwhm Sigy_fwhm dx dy B B_err M M_err Amp Amp_err Sigx Sigx_err Sigy Sigy_err Theta Theta_err 
20200222-74 2458902.2268528296 51.0 1.29172706191105 0.0361221284866335 1.0 1.0 7.822182466505814 7.832857458827496 13.025783515828946 13.043559902356716 14.686288576903689 11.58457795756029 0.0 0.0 42652353.52477501 246006.22932183297 -348543.6056933653 8942.046650224178 41422529.495761275 718735.8061362153 8.81934118317718 0.4397096221604037 6.956716459426825 0.23310089099126918 -20.17084746443464 0.09890394634417886
20200521-35 2458990.9837165372 51.0 1.280754181198 0.1163458366394 0.8588990712386647 0.8777289995063988 7.504417823324357 7.363654778009444 12.49663024322378 12.262226486580154 10.949784436960924 13.731977946583244 -0.16815152043204762 -0.40522759558211874 28960455.884543657 195062.06063209177 -257123.27193129674 7090.284107604749 28203558.22369052 602819.1361267896 6.575513229644154 0.24715179697518777 8.246263036206484 0.4409203340873158 9.767847317165156 0.12406226249558064
20200623-34 2459023.9622698994 51.0 1.2936947654986501 0.100148202896118 0.697298659383887 0.7057309946383388 7.66525942819496 7.593822956443525 12.764469549498473 12.645510931471694 14.415387776251803 11.09293410624772 -0.054873223043273356 -0.5644326003389892 19914916.590561062 131952.03984429923 -169470.76119851772 4796.306562808992 19390789.299348604 351306.1806563534 8.656661104052073 0.44025960291916927 6.661476798117449 0.21916686809387168 -17.050123551960308 0.08841157697179866
20200730-29 2459060.8516174294 52.0 1.26703248713715 0.055451282978058 0.794366083513588 0.8050374667344322 7.611747676123774 7.526481451490856 12.675359828392294 12.533371401500409 11.198032472754164 14.02794634415925 -0.11567470949029257 -0.09211864363322775 25485741.1722592 151842.55217431262 -219937.1058654029 5519.304097785265 24786336.795151804 447476.94243883365 6.724589976587374 0.22617542291683096 8.423996591147384 0.4158639693891913 40.96857773150223 0.09633915991205383
20200902-16 2459094.6719191256 48.0 1.3593059375057 0.0482267661094665 0.6597896697200454 0.6683106394716175 7.75460544764743 7.677770888525506 12.913251799512743 12.785304089530031 11.32151960530347 14.43834452975553 0.11454188817015165 -0.17671908024794902 18248095.71605056 108914.75211982828 -151728.8418172964 3958.927393017094 17775556.898480084 286542.7967209281 6.798745890655226 0.20397970427893175 8.670446986070344 0.38802482439318164 3.414437138451012 0.08842186560395719
20201010-15 2459132.711330935 43.0 1.48645921735375 0.09910167884826901 0.5773248015628998 0.5830463602738072 8.292845006594622 8.249010560418567 13.809547942503793 13.736553224102574 15.71266217416834 12.008970369694225 0.1065075681253802 -0.7703906485318157 15978449.787457326 101062.49350420658 -116170.95233394149 3673.506705138139 15617304.044058755 267385.04697016877 9.435694245305983 0.531665024825686 7.21157060168077 0.25384685234327165 -1.4076743009865191 0.0881236308154013
20210303-84 2459277.251877722 53.0 1.2536832781877498 0.040994598388672004 0.7908943635470022 0.7944366480641009 8.090513571230757 8.08136802060621 13.472618257370286 13.457388752934854 11.788141349978664 15.363008185166125 -0.06257671930347897 -0.12588123354731806 28541464.77271795 168546.77330548092 -218018.86812728073 6126.483507406486 27828159.199672233 394384.3624456322 7.078959393762596 0.20036267602915842 9.225721670620299 0.41329582708141205 0.17368096724660276 0.07231383540808617
20210406-46 2459311.0484631034 40.0 1.5544324070980502 0.049654454708099496 0.8108871628313566 0.831485696612996 7.490486073567637 7.327879148403846 12.473430585442236 12.202651603434635 13.626594362610113 10.927507063935517 0.04833928424710621 -0.2910508463617134 25717453.7482375 153159.18010244987 -229180.6622093783 5567.162020604255 25064689.636141814 443713.37228501966 8.182978580280247 0.3671368480573833 6.562135326006542 0.20615878536534454 -7.5934746727783695 0.09961080375263737
20210517-75 2459352.0590238553 51.0 1.28270977625465 0.0478649682998655 1.0 0.7468206769633231 70.71067811865474 7.495603715104663 117.74999999999997 12.481952668768514 14.354952643670734 10.853337262249422 -0.05789829715530459 -0.4926192242535308 1.0 inf -0.0001 inf 229912848336.0172 4141410215.138067 8.620368881487332 0.44079080952826744 6.517595224323741 0.20790015279496574 -1.4150882853783024 0.07790390557533325
20210614-30 2459379.8858383326 47.0 1.3813355456793999 0.055873327970504996 1.0 0.8855538023038053 70.71067811865474 7.085466377128063 117.74999999999997 11.798977015986535 13.349359704756282 10.428654385137056 0.022284353286863734 -0.2792418369797929 1.0 inf -0.0001 inf 288857818018.09894 5508092774.410347 8.016494922914323 0.3786777802644501 6.262566653402326 0.1991605316131678 -13.906532567734718 0.0902085750310579
20210804-15 2459430.7112016864 39.0 1.6070984154949999 0.11364723873138499 1.0 0.6028423390853558 70.71067811865474 8.928702808544017 117.74999999999997 14.868401543849593 13.230613297703469 16.708927960846797 0.20982236723745018 -0.652550718724342 1.0 inf -0.0001 inf 212569801547.36472 14210027755.197803 7.9451858871023635 1.198526699755759 10.033967106133574 2.2026683950720467 -8.930837706508836 0.5531229168969485
20210908-24 2459465.78480978 46.0 1.40270990245505 0.10559294891357501 1.0 0.7274104434640797 70.71067811865474 7.692889372055105 117.74999999999997 12.810479939669992 11.21188567760785 14.63700228521249 -0.4262840525220781 0.5035238031480276 1.0 inf -0.0001 inf 229749924401.5089 4989216325.403848 6.732909038237656 0.2712072694603908 8.78974401029023 0.5573038126231289 3.3109102471601743 0.10264378056025317
20211008-21 2459495.6846986003 49.0 1.31699999289865 0.061558534622192504 1.0 0.6353513113958621 70.71067811865474 8.265089391338106 117.74999999999997 13.76332827973984 11.986624430497391 15.803382047569999 -0.0906545974897881 -0.46417874758424205 1.0 inf -0.0001 inf 202320696080.2865 2662753457.5667825 7.198151523007256 0.1941785602917197 9.490172918487042 0.41552658024760736 0.16079527121190001 0.06596343894795398
