# Key JulianDate ELEV Airmass Tau225 CalF_lin CalF_gauss Beam_lin Beam_gauss Beam_lin_fwhm Beam_gauss_fwhm Sigx_fwhm Sigy_fwhm dx dy B B_err M M_err Amp Amp_err Sigx Sigx_err Sigy Sigy_err Theta Theta_err 
20151226-49 2457382.977402165 62.0 1.13698470421565 0.11668595027924 1.0 1.0 6.956536694335154 6.6188060608175086 11.584278606173662 11.021877238307113 8.05600559449303 15.079654107906237 0.0 0.0 10553998.109142015 248348.15988983444 -109043.76942867239 9027.173227657215 10588788.254251095 895521.9004483941 4.837754721989627 0.5019590887677581 9.055563208193696 2.1535878334597855 15.268203510475225 0.1584595621074803
20160116-22 2457403.80560139 65.0 1.10037039295125 0.0569497067928315 0.7374852867959958 0.6752313495824587 7.547400678433033 7.790051658096798 12.568206861122334 12.97227812186549 18.69984633079965 8.999004413948786 0.02379429746963524 1.0189393514464768 6756664.974888228 99885.47829991725 -59307.22127416259 3630.7235403805757 6687639.004928449 74745.48913888243 11.229544074441455 0.5312760415985057 5.404039953317078 0.08223156412558603 -8.226244808971373 0.021485436319535735
20160206-13 2457424.704871496 54.0 1.2362259201816999 0.044175030708312996 0.7872669038976458 0.7343138149414974 6.865797663837309 6.947547748550286 11.433176663363946 11.569309885828595 16.398024689766267 8.162503336018522 -0.05702544595345671 1.2454255028699208 6371722.326208525 104283.76045755671 -67584.14821722895 3790.5961098702733 6290909.391987072 129742.4381301258 9.847264930953852 0.6665089785862631 4.9017082465872726 0.1251988596481578 -5.129503920094629 0.03643701458840276
20160229-22 2457447.738226929 67.0 1.0830780130386999 0.043173278093338 0.8016464867668559 0.7138382807964074 7.163991968298008 7.602542623450111 11.929740694207034 12.660031238974652 19.318377874219937 8.296576038389864 0.3844616279714046 0.12313486108877214 7192946.31991417 133077.95119450067 -70075.57064053691 4837.2322042898195 7118759.931794453 121882.14290074515 11.600981737906649 0.8852729895414146 4.982220957431248 0.10681127459815792 -5.101535514083259 0.027467187862306904
20160325-21 2457472.7820620537 39.0 1.61540837159955 0.0566758675575255 0.7392022128413607 0.7163658101375991 6.952756657397397 6.803501815265953 11.577983950808118 11.32943934441237 8.13892058226862 15.770665724193778 0.42828685463314287 0.5302353002375071 5760649.172858984 87799.64774497047 -59583.68683752275 3191.4173448592833 5741450.993947134 102310.01509742677 4.8875464418351635 0.10728838782168885 9.470526265310976 0.529329337664162 2.764597961592429 0.031791264322975916
20160329-10 2457476.6744512226 64.0 1.1152139528564 0.053628966331481995 0.5879687240394085 0.5580023833047795 7.065988126697682 7.061451657180085 11.766541123004025 11.758986828519667 16.938681185004704 8.163195807458052 0.14186849091015574 0.19265019453411014 3764307.6339199115 61189.286769567494 -37697.21843641673 2224.1609929779233 3752727.590210111 54785.453178981086 10.171937435476698 0.5226215781349764 4.902124086290602 0.08842153651870778 20.027343366028013 0.02484065850690331
20160427-12 2457505.693870422 38.0 1.6429931768402999 0.052527603626251 0.512522755633924 0.4725120397400615 8.120883836304232 8.35716580987002 13.52319193036492 13.91665728987802 9.449333140454787 20.495980747546568 0.9583933747219362 0.38389364697269457 3778015.6532400665 52704.96130787632 -28643.57101456594 1915.7654149371533 3769040.008025179 46478.54484146734 5.674469249517074 0.10075736066071699 12.308150296101148 0.7429675215168361 -6.693016076210775 0.025217857334785192
20160826-29 2457627.2133908556 67.0 1.08319773170215 0.0922434372901915 0.8617182937399827 0.8477661629246327 6.543718955632623 6.329836138462264 10.896839452349468 10.540673984956424 15.084990258173141 7.365321830217247 0.30901141547622046 0.2785400786778496 6934429.776129302 127051.75600291797 -80971.36889421151 4618.18682258641 6960237.257544139 152743.35375680542 9.058767648142027 0.559726294634822 4.4229885450258415 0.1107970093418353 -5.1503148931833165 0.03373819270609266
20161119-99 2457712.110324572 43.0 1.4948236072265502 0.0657349009513855 0.8208724903573329 0.8012620270824012 6.57972757204624 6.427148221350906 10.956802313624657 10.702721614324508 15.783290307439527 7.2575646599959045 0.20560822408458534 0.43952458035363406 6362064.669262358 124352.51589833466 -73477.14257751565 4520.072558711926 6410216.621883912 111006.66284744903 9.478107520871676 0.5044262715258403 4.358278714210568 0.08498066981724633 -11.41451713243314 0.024736767248089143
20161126-53 2457718.9750505323 68.0 1.07934951835105 0.061917986392975 0.8198724997493693 0.7416481573625733 7.087970498561051 7.406294738328688 11.80314697032129 12.333232103570078 18.504915664497176 8.219903126192646 0.1783883063329199 0.5788753010292567 7364907.437918032 132135.15296155526 -73298.23123948078 4802.962553929822 7292640.049988038 117749.79879592841 11.112485224332161 0.7344447292212197 4.9361776995561115 0.09910006218888522 -11.398113789823014 0.026284716238702197
