# Key JulianDate ELEV Airmass Tau225 CalF_lin CalF_gauss Beam_lin Beam_gauss Beam_lin_fwhm Beam_gauss_fwhm Sigx_fwhm Sigy_fwhm dx dy B B_err M M_err Amp Amp_err Sigx Sigx_err Sigy Sigy_err Theta Theta_err 
20200222-12 2458901.6788277873 61.0 1.14227362422005 0.0331793422698975 1.0 1.0 11.986394700823299 9.122989721508329 19.960181595961686 15.191935196902092 19.167249390944797 12.041106698173774 0.0 0.0 45499.20076311336 375.2251137417351 -316.68436246820676 13.639005990819985 44024.38200977089 748.6161683537044 11.510226769452899 0.9204944843303016 7.230868959039859 0.25122038441538797 4.5382450026438645 0.05856119813399825
20200225-14 2458904.677945156 64.0 1.1178622781987 0.0437370903491975 1.1325923239602005 1.1560572247710759 11.467327046128679 8.55131769672672 19.095811207125507 14.23996609253176 11.484551311376382 17.656469880158706 3.340966022415671 -0.03284631780243785 53419.30631246137 451.4633028292268 -406.23173412108025 16.410177718571582 51694.41733453702 956.2118839181904 6.896648926674392 0.2433096908392635 10.60298053849363 0.8003633065223713 -31.567678049716946 0.061968923839651045
20200811-41 2459073.1710016094 51.0 1.30413565815765 0.10399303150177 1.123597182091413 1.1530545164476316 11.47575930155811 8.518897122320933 19.109852906388376 14.185978169662807 17.669125952855506 11.389469811189329 4.887181762227897 2.8147504437075668 52651.50173471457 452.6510417846287 -399.8047058375348 16.45335061881813 51037.02215252774 897.1023473641673 10.610580703951888 0.7602319685419378 6.839551029818635 0.2261520665858479 20.254514046599606 0.0577529901291539
20200914-49 2459107.0608991953 45.0 1.4332335783714498 0.052263191461563 1.078351286643615 1.1072795986591337 11.626986351824321 8.625734377219787 19.361681705695965 14.363887462842408 17.680073252731447 11.669706346568791 0.8813380270765379 2.789829326268489 49783.046040480054 396.5422262759452 -368.25371825757486 14.41385885091447 48253.1482745744 815.8610757583059 10.617154725164593 0.7287775041145821 7.007837360606779 0.23115444968194432 7.673865400612415 0.06031336522339312
20201031-24 2459153.9549947362 52.0 1.2713075873789 0.10269190502167 1.1247198486182215 1.1624596537417138 11.460962913809766 8.446972964714181 19.085213421890096 14.066207439364002 11.520835721978564 17.173944364970037 0.8249549899471162 -3.0209502766925596 52620.81282411053 417.69344069840616 -400.60405208983246 15.182681586705012 51000.78755071117 893.681794028079 6.918438270868158 0.23261072378424355 10.313216577656737 0.7006011483461814 -15.863455504161045 0.062330175656567045
20201212-58 2459196.050383473 56.0 1.21670822600055 0.12252681446075 1.050323381397012 1.0833242717875058 11.35126951527921 8.384870963779576 18.9025479741723 13.962792922566708 17.33888085233233 11.244069779293401 0.1324069148668059 -4.202884247555005 45015.44591404653 391.24359337505484 -349.3596033848806 14.22125966942926 43644.40844583608 779.2739626346472 10.412263464008303 0.7363548739149671 6.752236084138506 0.22288660694813686 -1.7157369312374569 0.057569584137327726
20210115-45 2459229.9668304403 53.0 1.2671815515244 0.099979428768156 1.1210410409280092 1.155996674070388 11.265922692421663 8.320843485579818 18.76042533217737 13.856172030805912 11.178978013166997 17.174513011936448 2.303562837126634 0.04303844728394779 50513.00169963672 443.22286548771444 -397.9876937889323 16.11064696018237 48940.3163606955 911.7801187743737 6.713147481822252 0.22917138816126134 10.313558058867821 0.7470485559060336 15.554320693785488 0.060195524673097175
20210212-13 2459257.682220902 56.0 1.2112045744451 0.08633529376983651 1.1010780596317737 1.1340973006276236 11.341762779387464 8.385435660551678 18.886717010857613 13.96373327622593 11.31997386869411 17.224937908100777 3.014443341066084 0.888663530710545 49388.28613416657 417.92715473451756 -383.9395368208968 15.191176912121131 47837.75527464837 878.8523887086283 6.797817652151271 0.2329242537687439 10.343838981176463 0.7390723004155867 2.9699127253875695 0.061968302823705065
20210326-18 2459299.774144457 55.0 1.2314549948481002 0.060361117839813 1.0811018266136614 1.11313167668653 11.563070751844952 8.554507698347924 19.255247117627928 14.245278199569775 17.455684967242345 11.625321570820978 1.6252101162008046 -1.4897315201384345 49488.71612669453 388.76607097600424 -370.1347163634509 14.131204343536211 47962.52334924083 816.5244583170345 10.482406123645978 0.7144409924032636 6.981183623101282 0.23134907410829192 -1.7092565526104428 0.06005330418788334
20210826-36 2459453.1481779455 55.0 1.22269647178215 0.051060230255127 1.1598250432112682 1.1980124565592967 11.237044023175466 8.287386632644298 18.712335518952365 13.800458459136483 17.13854550328133 11.112533070317305 0.22224175281070302 0.41596235167602913 2832908865.3091674 25220447.11301355 -22435122.174226943 916734.5718362402 2745956305.0423536 51149735.81418267 10.29195901914602 0.7430709841240214 6.67324627616232 0.2257618152062954 -42.564033465373065 0.059272230901411586
20211008-59 2459495.9987963797 44.0 1.43849787304545 0.07017197799682601 1.0773810190929116 1.112713732810467 11.534667854879174 8.508548046268986 19.207949577755546 14.168744510793465 17.313105286431316 11.595454292620456 0.16923508732853065 -3.461966096248716 2575682349.6542115 20139122.67233055 -19358964.131768815 732034.1998558884 2496971359.428182 42422254.32522564 10.396784841980677 0.6947903632664486 6.963247865180965 0.22921712819421247 -1.724289127420805 0.06075440038973179
20211109-46 2459527.9610087657 62.0 1.1339518871123 0.051544984102249 1.1028552236689808 1.1353279936320426 11.513868741157392 8.520173152593943 19.173314135048713 14.188103061809857 11.527912785890098 17.46216095067336 0.8559717206039181 1.4766128582700446 2689199566.342376 21984245.990597602 -20285255.596031364 799102.3439211491 2606605385.119822 45479655.691575184 6.92268815611889 0.23161339989801025 10.486295050863747 0.7293603361342406 -81.84713569697963 0.060690233550844665
