# Key JulianDate ELEV Airmass Tau225 CalF_lin CalF_gauss Beam_lin Beam_gauss Beam_lin_fwhm Beam_gauss_fwhm Sigx_fwhm Sigy_fwhm dx dy B B_err M M_err Amp Amp_err Sigx Sigx_err Sigy Sigy_err Theta Theta_err 
20151222-18 2457378.7054553037 52.0 1.2698492920704498 0.061500336647034 1.0 1.0 5.479367601850383 4.377705748512563 9.12444276146276 7.289915266013588 6.8907333183196116 7.712221926274966 0.0 0.0 1151736.632515998 15530.46058193222 -19180.60535219783 564.5145731890783 1213367.7169915033 56226.007654672525 4.137990876205417 0.2120830830221136 4.631307364827691 0.25773676408828733 -2.7694294424425485 0.3225638141700669
20160115-10 2457402.685531367 67.0 1.0897962256526 0.08175102186203 0.9161505188622292 0.887271903874148 5.607632181568537 4.593122158215117 9.338033617379445 7.648634527620894 7.095450102744601 8.244947013930153 -0.011532125730923326 -0.08481369055834875 1012476.6309541838 15537.939515002903 -16098.8915015308 564.7864308151973 1051547.1567621382 61159.80636769335 4.260926440103178 0.28110441199671654 4.9512169376422825 0.3825700915160518 -0.09604976595089776 0.2944865650886845
20160205-17 2457423.7525223843 68.0 1.0778380458443 0.036882252812385496 0.7707118083581813 0.6663697538835132 6.4720368996236 5.808312531418171 10.777471878460572 9.67221385470007 10.263246004796292 9.115217622897546 -0.1306361252896977 -0.35707023226621004 954461.2489363269 5792.167526575238 -11393.216120992443 210.5387030118772 948483.5623102741 22073.189908161316 6.16323638809104 0.24364590035447742 5.473827764876414 0.18257495509422933 -4.857547051072412 0.17736507941360724
20160229-17 2457447.712768937 61.0 1.14599327492765 0.041729382991791006 0.7644468908017789 0.6701049729359807 6.364001730014328 5.643424447846151 10.5975677740176 9.397636204517937 9.254373465561605 9.543116728659799 0.11740605463091924 -0.45415625766020185 907919.8695876052 5078.610872850248 -11208.743912209391 184.6017285080194 905462.3877165385 21602.156081998113 5.55739297930485 0.18417566534700994 5.7307877303525485 0.1959945353827924 -0.5213029381209466 0.7932063736987727
20160325-11 2457472.703530435 42.0 1.51150167304015 0.0564442641735075 0.6765045650748431 0.6137345057752505 6.409944440441165 5.530727135811677 10.674073250936974 9.209968530481612 9.687121130533608 8.756318744182892 0.27382636206709776 -0.6559149289988113 721343.7925537123 7158.052291942143 -8778.165666091405 260.18705936326785 729499.2504604079 28416.78974057431 5.817264578832959 0.34045998187010945 5.258303492350401 0.2740861715135479 -33.37295500890329 0.3657432837615909
20160802-31 2457603.1466323724 70.0 1.06928740466345 0.0944653673171995 1.058871792731739 1.1477373857579576 5.2691683984948545 3.9700905175817716 8.774411382134442 6.611139517864762 7.168877374392117 6.09679360408634 0.20575768500361846 -0.06392257436999671 1194161.9278408769 28733.18065532264 -21505.476427254314 1044.4184302448773 1314574.4181965315 130155.85186885473 4.30502064112737 0.49841048889474 3.6612179201224815 0.37910047993425644 -4.899480635543534 0.44536555357993907
20160830-48 2457630.972634083 41.0 1.54420961806335 0.0884116311073305 0.95022157567836 1.1253354536831914 5.532234487050336 3.902861094306654 9.212478626736866 6.499186630390521 6.0800681243371475 6.947196313076157 0.3406241132549326 -0.2748329494082782 1060091.2239058847 96069.94800502485 -17318.572187765658 3492.033310225684 1221320.0727026202 519967.67403433705 3.6511740134139874 1.618120779226669 4.171897769180749 1.917798979152773 5.611400361831618 2.4583288887300925
20161119-88 2457712.0209823577 49.0 1.3314300849618 0.0671993060112 1.0160245358562936 1.020813930475441 5.4033102406665545 4.300618144920243 8.997789269830736 7.161546177150318 6.6488930921206775 7.7137266213883455 0.04864855031445359 -0.6084968135995723 1156166.8287999274 14065.259331416695 -19800.251254740746 511.25618103464757 1220265.2512223353 45589.94480528355 3.992762117047069 0.16260096699401821 4.632210957284837 0.21589328733000443 0.1038433037281935 0.18631015411494545
20161126-21 2457718.734960132 40.0 1.5751047063632 0.048297533512115506 1.2726587155318516 1.3042000898988917 5.295365381359779 4.151090500338881 8.81803555339707 6.912547290165945 7.164090116495149 6.669836540548338 -0.13081995247767964 -0.023474686124757227 1742240.4039464272 21083.92779430757 -31066.06322014948 766.3767927482335 1855718.7576813009 73636.02547633422 4.302145819452436 0.19990075118943423 4.0053389785372 0.17514556251693691 17.250056236293304 0.4046109798471984
20170206-29 2457790.806930095 49.0 1.34524682924025 0.12305211734772001 1.1390245784195463 1.466237852558629 5.184418815588742 3.476527515762627 8.633283285887801 5.78924040714372 5.1206763782050535 6.5450932682165845 -0.1081914442684706 -0.9013400844461898 1337699.771080358 162195.73883769417 -24884.47604288902 5895.630608492651 1645127.2601132626 986807.5623025504 3.0750445785907123 1.843297894899138 3.9304287332945815 2.617370405318031 0.14817401531605373 1.7293905686717603
20170318-15 2457830.723518871 41.0 1.5524825230528 0.11438576889038 1.0545540115300591 1.4398341663366787 5.533756028460401 3.539870148680081 9.215012352983056 5.894720869564324 5.426054871077927 6.403867073901204 -0.0740229608475147 0.3780830001780373 1306381.3679277145 250937.38468679914 -21330.447453423192 9121.288584513532 1644746.2876050838 1453703.351917146 3.258429039855202 2.9237895858279384 3.8456202409960043 3.618429370291422 -1.12859915883611 3.878953466789088
20170624-19 2457929.1533352206 40.0 1.573104164316 0.092912055969238 1.2045950850252038 1.3382121074665092 5.336173517931107 3.9505196521167645 8.885990750675914 6.578549398948952 7.111348864402313 6.085668558752242 0.4569066019871002 -0.46186590222151835 1585018.6089805597 71676.74154089493 -27832.004331761058 2605.3680336828315 1769528.9216194733 364415.71508609375 4.270473889938114 1.008215367459309 3.6545371600403174 0.7864397935346579 7.553365570372723 0.9763538174670077
20170731-57 2457966.1217377116 61.0 1.14751180620025 0.089722275257111 1.0131139561857379 1.0660045860797551 5.276972326450835 4.058947699669916 8.787406767573607 6.759107738072209 6.175064603785512 7.398390194470339 0.13726815069560416 -0.12656997390524793 1096424.0033023332 19792.017905017306 -19686.97118945551 719.4173399052858 1185343.8735045083 81009.00402915094 3.708220854014231 0.26587766118721834 4.4428466041393095 0.366915536578081 -0.09575137108161053 0.2748812596797229
20170901-48 2457998.228787032 52.0 1.2834701077596 0.078338028907776 1.1521310805542304 1.1811917794054712 5.366553629886916 4.205591770837718 8.936580821058122 7.003304793445283 6.691632740301689 7.329493403680497 0.2310363309630361 -0.03674885722398358 1466516.7848303372 17691.42724705308 -25460.451141778063 643.0632617114437 1562407.670726463 57170.795794206904 4.018427930256682 0.16135289219050683 4.401473026245902 0.19007769933376664 0.21026344267376845 0.29934448796838425
20170930-36 2458026.903350718 44.0 1.4392779583853499 0.0753388471603395 1.2051783275852048 1.2872134959988915 5.223845267783908 3.9767649091811617 8.698937651953852 6.622253958169089 5.9577980525980925 7.360814700216649 0.101694935461353 -0.3043157814231563 1520461.8960002013 28273.788461008568 -27858.962335277152 1027.7200487265006 1659053.180488647 111227.91007223858 3.5777489629996757 0.24771220809429584 4.420281944442307 0.3554772444647606 0.1611396912405864 0.23040522484811396
20171030-22 2458057.095851814 43.0 1.47735312889765 0.10441524219513 1.065632989266593 1.1861302761839156 5.740507581476502 4.2331921925894305 9.559302579231405 7.049266022325178 7.387518978627961 6.726500682741699 -0.12664717560681993 -0.3143192475580463 1435516.5650985956 121397.38352796315 -21780.990370673833 4412.656799981885 1596246.8688387512 617898.5129644948 4.436318272553842 2.0334269926651967 4.039366663628533 1.7186534741000623 1.334973572170957 3.0963464087674155
20171208-18 2458095.7322462285 51.0 1.3013588000511498 0.10867098045349 0.9509531414780363 0.980763850657372 5.7307004731958395 4.476185247471435 9.542971424860205 7.453906919197126 6.931619906053825 8.01554746409711 -0.09314074171629727 -0.261935936808527 1139268.1594407049 68656.85858062869 -17345.249233546067 2495.5987168943966 1220237.3265283739 333429.624325803 4.162543898240611 1.2551149250005014 4.8134589951470925 1.5932189976582303 0.4913616831359206 1.5358677169073078
20180111-27 2458129.8805584153 48.0 1.35341740827145 0.06784155321121199 1.0322175140316476 1.0824431906215841 5.271523488072589 4.067227474362067 8.778333163188682 6.772895520850431 6.492263450729813 7.065658084346411 -0.2830596854518035 -0.412549097097326 1135813.5474785236 19394.94026437342 -20436.417054949103 704.9840223515737 1227174.8694941264 77959.37444719646 3.89870361890499 0.2664415881823521 4.243035876846623 0.3056827947547466 3.4744561811629695 0.5636737739377955
20180208-13 2458157.794316665 51.0 1.2936060693372 0.098671459674834 1.1048499920534416 1.1046767066186238 5.586908667696529 4.464667917331417 9.303524066299563 7.434727841014459 7.101997388774449 7.783046802766291 0.027121615052521975 -0.2058565428093857 1461645.5969490006 29270.26543506083 -23413.640374254683 1063.9408609655138 1540096.8001441523 127904.47375921301 4.264858185623411 0.3998621522154232 4.673838787709828 0.4714869465337996 0.3449178838310887 0.7146625532921418
20180311-10 2458188.704458677 53.0 1.2637634105316 0.100593292236325 0.5786951218288309 0.6265404657365029 5.6048673776630045 4.23392736747521 9.3334295650844 7.050490262356582 7.665549312763644 6.484781574207023 -0.08349328306906045 -0.13853947571539038 403573.4893360327 23235.410129280932 -6423.35540967983 844.5807339545 445537.5994486501 115974.69361190051 4.603279745711297 1.3872733027189947 3.8942106374822596 1.0821612476759166 33.53539723107882 1.237945528824629
20180707-16 2458307.123370239 38.0 1.6087223328886502 0.10324609947205 1.600163730967505 2.226171348692238 5.561611077068147 3.5025507778970284 9.261397595789782 5.83257529231034 5.485488969275469 6.201622996784973 0.658151387283624 0.19753727642194008 3038242.1274104742 568124.4881067049 -49112.39968484611 20650.67893061941 3849331.917151651 3388909.015283768 3.294120125943685 2.9514291299682593 3.72416957570199 3.408486649445889 0.6033966801708763 5.2782717886274595
20180708-57 2458308.1282933773 44.0 1.4589139579955 0.11870707702637 1.6278097158779166 1.9136146141014294 5.4538739753577365 3.8714527229033635 9.081989844882441 6.446884264876057 6.978818351886461 5.955494845839008 0.4835624797836431 -0.2854822576746301 3023498.6192203914 274763.25983356265 -50824.08659656981 9987.332073255006 3475010.97640339 1473681.0511745939 4.190887287718082 1.9801529568479774 3.576365852071588 1.5725851180317525 1.154402496181761 1.9935172851128566
20180908-11 2458369.953004276 42.0 1.50846653600175 0.09518715810775749 1.3010701768998403 1.401056971445159 5.257327889648807 3.9766095408580786 8.754694134984266 6.621995233171255 7.001561953548668 6.2630054777873525 0.5366020819856203 -0.19210574743090092 1794832.3039638768 62306.09177868024 -32468.614278360597 2264.7555695215274 1965335.928688828 315799.77440966765 4.204545168791503 0.7579640793696599 3.7610306955005774 0.6386540106999711 -4.334418580220076 1.0807245120062061
20181022-31 2458413.8838917995 57.0 1.2017212881633 0.0803424997329715 1.9812958710512836 1.9549953777633167 5.4656438856196585 4.411513197335997 9.101589528695623 7.346212662741695 6.736022553547995 8.011677522932434 0.16057409908461295 -0.15674986882203257 4498561.249013413 53193.289232360454 -75294.10557363664 1933.515573613148 4709403.88632577 165702.53635374754 4.045084692857165 0.1553014191722931 4.811135036216871 0.21197731403295864 -2.8136299730825276 0.15800903972954192
20181120-18 2458442.781228047 50.0 1.30890603211825 0.057738167762756504 1.468233215181646 1.4164887657053615 5.535908308883289 4.544871233310798 9.218596408836257 7.56828532777374 6.984816910155429 8.200493089420247 -0.03976271342611426 0.008006368805013153 2534312.5330067975 27538.713651705577 -41347.79925148362 1001.0009195062426 2624029.647948684 92605.56590229091 4.194489513815178 0.165340119434568 4.9245216752462655 0.2248312371298851 0.265856701838758 0.1716376366188766
